"name";"ine";"email";"tel"
"Fresno de Torote";"28-057";"ayuntamiento@aytofresno-serracines.org";"918791296"
"Torres de la Alameda";"28-154";"intervencion.torres@gmail.com";"918868250"
"Fuenlabrada";"28-058";"bruiz@ayto-fuenlabrada.es";"916497000"
"Valdaracete";"28-155";"aytovaldaracete.hotmail.com";NA
"Fuente el Saz de Jarama";"28-059";"secretaria@ayuntamientofuentelsaz.com";"916200003"
"Valdeavero";"28-156";"soraya.garcia@madrid.org";"918864462"
"Fuentidueña de Tajo";"28-060";"registro@aytofuentiduenatajo.es";NA
"Valdelaguna";"28-157";"valdelaguna@madrid.org";"918937099"
"Galapagar";"28-061";"intervencion@galapagar.es";"918587810"
"Valdemanco";"28-158";"ayuntamiento@valdemanco.es";"918481274"
"Garganta de los Montes";"28-062";"gargantadelosmones@madrid.org";"918694136"
"Valdemaqueda";"28-159";"secretario@aytovaldemaqueda.es";"918984729"
"Gargantilla del Lozoya y Pinilla de Buitrago";"28-063";"gargantilladelozoya@madrid.org";"918695013"
"Valdemorillo";"28-160";"valdemorillo@madrid.org";"918977313"
"Gascones";"28-064";"gascones@madrid.org";NA
"Valdemoro";"28-161";"ayto-valdemoro.net";"686538364"
"Getafe";"28-065";"sfiscales@ayto-getafe.org/secretaria@ayto-getafe.org";"916499100"
"Valdeolmos-Alalpardo";"28-162";"aytovaldeolmos@terra.es";"916202153"
"Griñón";"28-066";"grinon@madrid.es";"918140014"
"Valdepiélagos";"28-163";NA;"918416048"
"Guadalix de la Sierra";"28-067";NA;"918470006"
"Valdetorres de Jarama";"28-164";"administracion@ayto-valdetorresdejarama.es";"918415164"
"Guadarrama";"28-068";"registro1@guadarrama.es";NA
"Valdilecha";"28-165";"secretariaintervencion@valdilecha.es";"918738381"
"Hiruela (La)";"28-069";NA;"918697328"
"Valverde de Alcalá";"28-166";"valverdedealcala@madrid.org";"918859351"
"Horcajo de la Sierra-Aoslos";"28-070";"horcajoraul@hotmail.com";"918686574"
"Velilla de San Antonio";"28-167";"intervencion@ayto-velilla.es/general@ayto-velilla.es";"916705300"
"Horcajuelo de la Sierra";"28-071";NA;"918697022"
"Vellón (El)";"28-168";"aytoelvellon@hotmail.com";NA
"Hoyo de Manzanares";"28-072";"aytohoyom@infonegocio_com";"918566004"
"Venturada";"28-169";"secretario@venturada.org";"918439212"
"Humanes de Madrid";"28-073";"tesoreria@ayto-humanesdemadrid.es";"916040300"
"Villaconejos";"28-170";"registro@ayto-villaconejos.com";NA
"Leganés";"28-074";"tpascual@leganes.org";"912489000"
"Villa del Prado";"28-171";"aytoprado@infonegocio.com";"918620002"
"Loeches";"28-075";"conta-tesoreria@loeches.es";"918851011"
"Villalbilla";"28-172";"villalbilla@ayto-villalbilla.org";"918859002"
"Lozoya";"28-076";"lozoyasecretaria@lozoya.es";"918693029"
"Villamanrique de Tajo";"28-173";"villamanriquedetajo@madrid.org";NA
"Madarcos";"28-078";"a.madarcos@yahoo.es";"918681461"
"Villamanta";"28-174";"informacion@villamanta.net";"918136001"
"Madrid";"28-079";"munozcfa@munimadrid.es/infomadrid@munimadrid.es";"915881000"
"Villamantilla";"28-175";"carmensecretaria@hotmail.com";NA
"Majadahonda";"28-080";"intervencion@majadahonda.org";"916349100"
"Villanueva de la Cañada";"28-176";"jcpozuelo@ayto-villacanada.es/ayuntamiento@ayto-villacanada.es";"918117300"
"Manzanares el Real";"28-082";"registro@manzanareselreal.es";"918530009"
"Villanueva del Pardillo";"28-177";"intervencion@vvapardillo.org";"918150001"
"Meco";"28-083";"interventor@ayto-meco.es";NA
"Villanueva de Perales";"28-178";NA;"918137126"
"Mejorada del Campo";"28-084";"rentas@mejoradadelcampo.org";"916794836"
"Villar del Olmo";"28-179";"ayuntamiento@villardelolmo.es";"918732161"
"Miraflores de la Sierra";"28-085";"gblasco@mirafloresdelasierra.es";"918449027"
"Villarejo de Salvanés";"28-180";"jesus.diaz@villarejodesalvanes.es";"918744002"
"Molar (El)";"28-086";"secretaria@elmolar.org";NA
"Villaviciosa de Odón";"28-181";NA;"916169600"
"Molinos (Los)";"28-087";"tesoreria@ayuntamiento-losmolinos.es";"918551013"
"Villavieja del Lozoya";"28-182";NA;"918680341"
"Montejo de la Sierra";"28-088";NA;"918697008"
"Zarzalejo";"28-183";"ayto@zarzalejo.org";"918992287"
"Moraleja de Enmedio";"28-089";"moralejadeenmedio@comadrid.org";"916004990"
"Lozoyuela-Navas-Sieteiglesias";"28-901";"economia@lozoyuela.com";"918694561"
"Moralzarzal";"28-090";"cjaramillomoralzarzal.es";"918427910"
"Puentes Viejas";"28-902";"puentesviejas@madrid.org";"918680267"
"Morata de Tajuña";"28-091";"intervencion@ayuntamientodemorata.com";"918730380"
"Tres Cantos";"28-903";"departamento.secretaria@trescantos.es";"912938000"
"Móstoles";"28-092";"ofconpres@ayto-mostoles.es";"916647509"
"Ajofrín";"45-001";NA;"925390002"
"Montearagón";"45-104";"montearagon@diputoledo.es";"925865032"
"Alameda de la Sagra";"45-002";"registroayuntamiento@alamedadelasagra.com";"925500181"
"Montesclaros";"45-105";NA;"925868401"
"Albarreal de Tajo";"45-003";NA;"925749641"
"Mora";"45-106";"intervencion@mora.es/ayto@mora.es";"925300025"
"Alcabón";"45-004";"ayto.alcabon@gmail.com";"925779480"
"Nambroca";"45-107";"ayuntamiento@nambroca.com";"925366001"
"Alcañizo";"45-005";"alcanizo@munitoledo.es";"925431026"
"Nava de Ricomalillo (La)";"45-108";"ayto-nava@hotmail.com";"925444001"
"Alcaudete de la Jara";"45-006";NA;"925853003"
"Navahermosa";"45-109";"navahermosa@local.jccm.es";"925410111"
"Alcolea de Tajo";"45-007";"ayuntamiento@alcoleadetajo.es";"925436325"
"Navalcán";"45-110";"ayuntamiento@navalcan.com";"925844011"
"Aldea en Cabo";"45-008";"aytoaldea@gmail.com";"925781001"
"Navalmoralejo";"45-111";"ayuntanavalmoralejo@yahoo.es";"925436317"
"Aldeanueva de Barbarroya";"45-009";"aldebarba@gmail.com";"925706074"
"Navalmorales (Los)";"45-112";"secretario@losnavalmorales.es";"925404181"
"Aldeanueva de San Bartolomé";"45-010";"rrrecio@yahoo.es";"925441001"
"Navalucillos (Los)";"45-113";NA;"925426381"
"Almendral de la Cañada";"45-011";"info@almendraldelacanada.es";"925879601"
"Navamorcuende";"45-114";"navamorcuende@local.jccm.es";"925868001"
"Almonacid de Toledo";"45-012";"almonacidtoledo@wanadoo.es";"925314001"
"Noblejas";"45-115";"gestion@noblejas.es";"925140281"
"Almorox";"45-013";"secretaria@almorox.es";"918623002"
"Noez";"45-116";NA;"925374062"
"Añover de Tajo";"45-014";"ANOVER@terra.es";"925506003"
"Nombela";"45-117";"nombela@local.jccm.es";"925792281"
"Arcicóllar";"45-015";"ayuntamiento@arcicollar.com";"925350598"
"Novés";"45-118";NA;"925778101"
"Argés";"45-016";"secretario.interventor@arges.es";"925376281"
"Numancia de la Sagra";"45-119";"registro@ayunt-numancia.es";"925537433"
"Azután";"45-017";NA;"925436434"
"Nuño Gómez";"45-120";"nuno-gomez@terra.com";"925878501"
"Barcience";"45-018";NA;"925760718"
"Ocaña";"45-121";NA;"925120968"
"Bargas";"45-019";"intervencion@bargas.es";"925493242"
"Olías del Rey";"45-122";"AYTO OLIAS- BGR@TELEFONICA.NET";NA
"Belvís de la Jara";"45-020";"belvis-jara@local.jccm.es";"925858001"
"Ontígola";"45-123";"ontigola@diputoledo.es";NA
"Borox";"45-021";NA;"925528900"
"Orgaz";"45-124";"secretaria@ayto-orgaz.es";"925317160"
"Buenaventura";"45-022";"secretaria@aytobuenaventura.es";"925875001"
"Oropesa";"45-125";"oropesa@munitoledo.es";"925430002"
"Burguillos de Toledo";"45-023";NA;"925393055"
"Otero";"45-126";"ayuntamientotero@gmail.com";"86.16.32"
"Burujón";"45-024";"burujon@burujon.es";"925756081"
"Palomeque";"45-127";"ayuntamientodepalomeque@yahoo.es";"925508172"
"Cabañas de la Sagra";"45-025";"cabanas-sagra@local.jccm.es";"925355014"
"Pantoja";"45-128";"administracion@ayuntamientopantoja.com";"925554681"
"Cabañas de Yepes";"45-026";"cabanasyepes@diputoledo.es";"925137181"
"Paredes de Escalona";"45-129";NA;NA
"Cabezamesada";"45-027";"secretaria@aytocabezamesada.es";NA
"Parrillas";"45-130";"parrillas@diputoledo.es";"925844177"
"Calera y Chozas";"45-028";"caleraychozas@exesmas.com";NA
"Pelahustán";"45-131";NA;NA
"Caleruela";"45-029";"caleruela@local.jccm.es";"925435081"
"Pepino";"45-132";"santifurio@yahoo.es";"925709411"
"Calzada de Oropesa";"45-030";"aytolacalzada@terra.es";NA
"Polán";"45-133";"Polan@jccm.local.es";"925370001"
"Camarena";"45-031";"secretaria@ayto-camarena.com";"918174019"
"Portillo de Toledo";"45-134";"alcaldia@portillodetoledo.es";"925785121"
"Camarenilla";"45-032";"ayuntamiento@aytocamarenilla.org";"925359026"
"Puebla de Almoradiel (La)";"45-135";"secretaria@pueblaalmoradiel.org";"925178001"
"Campillo de la Jara (El)";"45-033";NA;"925455501"
"Puebla de Montalbán (La)";"45-136";"ayuntamiento@pueblademontalban.com";"925745858"
"Camuñas";"45-034";"ayuntamiento@camunas.es";"925470161"
"Pueblanueva (La)";"45-137";"PUEBLANUEVA@DIPUTOLEDO.ES";"925860002"
"Cardiel de los Montes";"45-035";NA;"925862525"
"Puente del Arzobispo (El)";"45-138";"info@puentedelarzobispo.es";"925436162"
"Carmena";"45-036";NA;"925742151"
"Puerto de San Vicente";"45-139";NA;NA
"Carpio de Tajo (El)";"45-037";"carpio@diputoledo.es";"925757171"
"Pulgar";"45-140";NA;NA
"Carranque";"45-038";"tesoreria@carranque.es";"925544065"
"Quero";"45-141";"ayuntamiento@quero.es";"926577004"
"Carriches";"45-039";"aytocarriches@telefonica.net";"925880333"
"Quintanar de la Orden";"45-142";"ayuntamiento@aytoquintanar.org";"925180750"
"Casar de Escalona (El)";"45-040";NA;"925863004"
"Quismondo";"45-143";"ges.quismondo@yahoo.es";"925790203"
"Casarrubios del Monte";"45-041";"ayuntamiento@casarrubiosdelmonte.es";"918172131"
"Real de San Vicente (El)";"45-144";"ayuntamiento@elrealdesanvicente.es";"925879201"
"Casasbuenas";"45-042";NA;NA
"Recas";"45-145";"ayto@recas.es";"915522181"
"Castillo de Bayuela";"45-043";"castillodebayuela@diputoledo.es";"925862001"
"Retamoso de la Jara";"45-146";NA;NA
"Cazalegas";"45-045";"oficinageneral@cazalegas.es";"925869002"
"Rielves";"45-147";NA;NA
"Cebolla";"45-046";"cebolla@diputoledo.es";NA
"Robledo del Mazo";"45-148";NA;NA
"Cedillo del Condado";"45-047";"cedillodelcondado@diputoledo.es";"925508011"
"Romeral (El)";"45-149";"elromeral@telefonica.net";NA
"Cerralbos (Los)";"45-048";NA;"925872061"
"San Bartolomé de las Abiertas";"45-150";"jaime.ispinum@gmail.com";NA
"Cervera de los Montes";"45-049";"ayuntaminetocervera@yahoo.es";"925875501"
"San Martín de Montalbán";"45-151";"san.martin.montalban@local.jccm.es";NA
"Ciruelos";"45-050";NA;NA
"San Martín de Pusa";"45-152";"ayuntamiento@sanmartindepusa.es";"925420153"
"Cobeja";"45-051";"cobejaayto@outlook.com";"925551940"
"San Pablo de los Montes";"45-153";NA;NA
"Cobisa";"45-052";"administracion@cobisa.es";"925376326"
"San Román de los Montes";"45-154";"gestion@sanromandelosmontes.com";NA
"Consuegra";"45-053";NA;"925480185"
"Santa Ana de Pusa";"45-155";NA;"925703001"
"Corral de Almaguer";"45-054";"AYUNCORRAL.3081@cajarural.com/corral@diputoledo.es";"925190325"
"Santa Cruz de la Zarza";"45-156";"secretaria@santacruzdelazarza.es";"925125181"
"Cuerva";"45-055";"oficinasmunicipales@cuerva.es";NA
"Santa Cruz del Retamar";"45-157";"ayto_alcaldia@santacruzdelretamar.es";"925794003"
"Chozas de Canales";"45-056";"chozas-canales@local.jccm.es";"918176186"
"Santa Olalla";"45-158";"contabilidad@santaolalla.es";"925797008"
"Chueca";"45-057";"chueca@local.jccm.es";NA
"Sartajada";"45-159";"ayuntamiento-sartajada@local.jccm.es";"925868388"
"Domingo Pérez";"45-058";"domingoperez@diputoledo.es";NA
"Segurilla";"45-160";"segurilla@diputoledo.es";NA
"Dosbarrios";"45-059";"alcalde@dosbarrios.com";"925137111"
"Seseña";"45-161";"info@ayto-sesena.org";NA
"Erustes";"45-060";NA;"925880032"
"Sevilleja de la Jara";"45-162";NA;NA
"Escalona";"45-061";"Secretario@escalona.es";"925780012"
"Sonseca";"45-163";"secretaria@ayto-sonseca.com/alcaldia@ayto-sonseca.com";"925380075"
"Escalonilla";"45-062";"ana@escalonilla.com";"925758000"
"Sotillo de las Palomas";"45-164";"sotillo@diputoledo.es";"925875801"
"Espinoso del Rey";"45-063";NA;NA
"Talavera de la Reina";"45-165";"gtributaria@aytotalaveradelareina.es";"925720100"
"Esquivias";"45-064";NA;"925520161"
"Tembleque";"45-166";"info@ayuntamientodetembleque.es";"925145261"
"Estrella (La)";"45-065";"la-estrella@local.jccm.es";NA
"Toboso (El)";"45-167";"administracion@eltoboso.org";NA
"Fuensalida";"45-066";"fuensalida@diputoledo.es";"925776013"
"Toledo";"45-168";"jsrubio@toledo.es";"925330665"
"Gálvez";"45-067";"Ayuntamiento2003@yahoo.es";"925400150"
"Torralba de Oropesa";"45-169";"torralba@diputoledo.es";"925431001"
"Garciotum";"45-068";"ayto.garciotun@gmail.com";"925862401"
"Torrecilla de la Jara";"45-170";NA;NA
"Gerindote";"45-069";"gerindote.ayto@terra.es";"925760901"
"Torre de Esteban Hambrán (La)";"45-171";"latorre@diputoledo.es";NA
"Guadamur";"45-070";"guy¡adamur@local.jccm.es";NA
"Torrico";"45-172";"torrico@diputoledo.es";NA
"Guardia (La)";"45-071";NA;"925138006"
"Torrijos";"45-173";"serv-economicos@torrijos.es";"925770801"
"Herencias (Las)";"45-072";NA;"925816909"
"Totanés";"45-174";"aytototanes@totanes.es";NA
"Herreruela de Oropesa";"45-073";"herreruela@diputoledo.es";"925435036"
"Turleque";"45-175";"administrativoturleque@local.jccm.es";"925327081"
"Hinojosa de San Vicente";"45-074";"DMLSEC@Evvcc.es";NA
"Ugena";"45-176";"urbanismo1@ugena.es";"925533063"
"Hontanar";"45-075";NA;"925410200"
"Urda";"45-177";"Ayuntamiento@urda.net";NA
"Hormigos";"45-076";NA;"925740076"
"Valdeverdeja";"45-179";"valdeverdeja @ diputoledo.es";NA
"Huecas";"45-077";NA;"925784781"
"Valmojado";"45-180";"secretaria@valmojado.com";NA
"Huerta de Valdecarábanos";"45-078";"huerta-valdecarabanos@local.ccm.es";"925129161"
"Velada";"45-181";NA;"925892031"
"Iglesuela del Tiétar (La)";"45-079";"la-iglesuela@local.jccm.es";"925874701"
"Ventas con Peña Aguilera (Las)";"45-182";NA;"925418002"
"Illán de Vacas";"45-080";NA;NA
"Ventas de Retamosa (Las)";"45-183";NA;NA
"Illescas";"45-081";"recaudacion@illescas.es";NA
"Ventas de San Julián (Las)";"45-184";NA;NA
"Lagartera";"45-082";"ayuntamiento@lagartera.es";NA
"Villacañas";"45-185";"TESO@VILLACA.TERRA.ES";NA
"Layos";"45-083";"layos@diputoledo.es";"925376450"
"Villa de Don Fadrique (La)";"45-186";"ayuntamiento@villadonfadrique.es";"925195061"
"Lillo";"45-084";NA;"925562321"
"Villafranca de los Caballeros";"45-187";"intervencion@aytovillafranca.es";"926558640"
"Lominchar";"45-085";"lominchar@diputoledo.es";NA
"Villaluenga de la Sagra";"45-188";"intervencion@villaluengadelasagra.es";"925530007"
"Lucillos";"45-086";NA;"925865002"
"Villamiel de Toledo";"45-189";"info@villamieldetoledo.com";"925793084"
"Madridejos";"45-087";"intervencion@madridejos.es";"925460016"
"Villaminaya";"45-190";NA;"925345001"
"Magán";"45-088";"magan@diputoledo.es";NA
"Villamuelas";"45-191";NA;NA
"Malpica de Tajo";"45-089";"malpicadetajo@diputoledo.es";"925877211"
"Villanueva de Alcardete";"45-192";"nico@villanuevadealcardete.org";"925166525"
"Manzaneque";"45-090";NA;NA
"Villanueva de Bogas";"45-193";NA;NA
"Maqueda";"45-091";"maqueda@diputoledo.es";"925790001"
"Villarejo de Montalbán";"45-194";NA;NA
"Marjaliza";"45-092";"ayto.marjaliza@diputoledo.es";NA
"Villarrubia de Santiago";"45-195";NA;"925150281"
"Marrupe";"45-093";"aytomarrupe@gmail.com";"925879001"
"Villaseca de la Sagra";"45-196";"contabilidad@villasecadelasagra.es";"925278011"
"Mascaraque";"45-094";NA;"925316026"
"Villasequilla";"45-197";"ayto.villasequilla@hotmail.com";"925310001"
"Mata (La)";"45-095";"oficina@ayuntamientolamata.e.telefonica.net";NA
"Villatobas";"45-198";"secretario@villatobas.es";"925152181"
"Mazarambroz";"45-096";"aytomazarambroz@aytomazarambroz.com";NA
"Viso de San Juan (El)";"45-199";NA;"925559648"
"Mejorada";"45-097";"mejorada@diputoledo.es";"925890001"
"Yébenes (Los)";"45-200";"aytolosyebenes@losyebenes.es";"925320348"
"Menasalbas";"45-098";NA;NA
"Yeles";"45-201";"mcnavas@telebrica.net";"925545002"
"Méntrida";"45-099";"secretario@mentrida.es";"918177002"
"Yepes";"45-202";"yepes@local.jccm.es";NA
"Mesegar de Tajo";"45-100";NA;"925880559"
"Yuncler";"45-203";"yuncler@infonegocio.com";NA
"Miguel Esteban";"45-101";"angel@aytomiguelesteban.es";"925172361"
"Yunclillos";"45-204";"yunclillos@local.jccm.es";NA
"Mocejón";"45-102";"secretaria@mocejon.es";NA
"Yuncos";"45-205";"yuncos@diputoledo.es";"925537990"
"Mohedas de la Jara";"45-103";"mohedasdelajara@ya.com";"925441801"
"Santo Domingo-Caudilla";"45-901";NA;"925779005"
"Alcalá de los Gazules";"11-001";"intervencionalcaladelosgazules@gmail.com";"956420331"
"Olvera";"11-024";"olvera@dipucadiz.es";"956130011"
"Alcalá del Valle";"11-002";"alcaladelvalle@dipucadiz.es";"956135001"
"Paterna de Rivera";"11-025";"fperez@paternaderivera.es";"956929012"
"Algar";"11-003";"algar@dipucadiz.es";"956710001"
"Prado del Rey";"11-026";"pradodelrey@dipucadiz.es";"956723011"
"Algeciras";"11-004";"planificacion.coordinador@algeciras.es";"956672700"
"Puerto de Santa María (El)";"11-027";"area.economica@elpuertosm.es/ayuntamiento@elpuertosm.es";"956483100"
"Algodonales";"11-005";"secretario@algodonales.es";"956137003"
"Puerto Real";"11-028";"intervencion.general@puertoreal.es";"956470000"
"Arcos de la Frontera";"11-006";"alcaldia@arcosdelafrontera.es";"956717080"
"Puerto Serrano";"11-029";"puertoserrano@dipucadiz.es";"956136040"
"Barbate";"11-007";"informatica@aytobarbate.org";"956431000"
"Rota";"11-030";"alcaldia@aytorota.es/secretaria@aytorota.es";"956846169"
"Barrios (Los)";"11-008";"ayuntamiento@ayto-losbarrios.es";"956582500"
"San Fernando";"11-031";"economia@aytosanfernando.org";"956944000"
"Benaocaz";"11-009";"ayuntamiento@benaocaz.es";"956125500"
"Sanlúcar de Barrameda";"11-032";"intervencion@sanlucardebarrameda.es";"956388000"
"Bornos";"11-010";"bornos@bornos.es";"956712011"
"San Roque";"11-033";"cpd@sanroque.es/alcaldia@sanroque.es";"956780106"
"Bosque (El)";"11-011";"elbosque@dipucadiz.es";"956727072"
"Setenil de las Bodegas";"11-034";"ayuntamiento@setenildelasbodegas.es";"956134004"
"Cádiz";"11-012";"juanmaria.morenourbano@cadiz.es";"956241000"
"Tarifa";"11-035";"INFO@AYTOTARIFA.COM";"956684186"
"Castellar de la Frontera";"11-013";"castellar@dipucadiz.es";"956693001"
"Torre Alháquime";"11-036";"torrealhaquime@dipucadiz.es";"956125124"
"Conil de la Frontera";"11-014";"intervencion@conil.org";"956440306"
"Trebujena";"11-037";"intervencion@trebujena.com/ayuntamiento@trebujena.com";"956395028"
"Chiclana de la Frontera";"11-015";"secretaria@chiclana.es";"956490002"
"Ubrique";"11-038";"ayto@ayuntamientoubrique.es";"956461290"
"Chipiona";"11-016";"ingresos@aytochipiona.es";"956929060"
"Vejer de la Frontera";"11-039";"pgarcia@ayuntamientovejer.org/aytovejeralcaldia@telefonica.net";"956447179"
"Espera";"11-017";"espera@dipucadiz.es";"956720011"
"Villaluenga del Rosario";"11-040";"aytvillaluengaro@eresmas.com";NA
"Gastor (El)";"11-018";"secretaria.elgastor@dipucadiz.es";"956123815"
"Villamartín";"11-041";"intervencion.villamartin@dipucadiz.es";"956730011"
"Grazalema";"11-019";"secretaria.intervencion@grazalema.es";"956132011"
"Zahara";"11-042";"zaharasierra@inicia.es";"956123076"
"Jerez de la Frontera";"11-020";"webmaster@aytojerez.es";"956149347"
"Benalup-Casas Viejas";"11-901";"ayun_benalup@teleline.es";"956424129"
"Jimena de la Frontera";"11-021";"interventor.jimena@dipucadiz.es";"956640254"
"San José del Valle";"11-902";"sanjosedelvalle@dipucadiz.es";"956160011"
"Línea de la Concepción (La)";"11-022";"intervencion@lalinea.es";"956696200"
"San Martín del Tesorillo";"11-903";NA;"956618096"
"Medina-Sidonia";"11-023";"ayuntamiento@medinasidonia.com/alcaldiamedina@terra.es";"956410005"
"Alameda";"29-001";NA;"952710025"
"Frigiliana";"29-053";"info@frigiliana.es";"952533259"
"Alcaucín";"29-002";"secretaria@alcaucin.es";"952510002"
"Fuengirola";"29-054";"info@fuengirola.org";"952589300"
"Alfarnate";"29-003";"alfarnate@sopde.es";"952759028"
"Fuente de Piedra";"29-055";"secretaria@fuentedepiedra.es";"952735016"
"Alfarnatejo";"29-004";"ayuntamiento@alfarnatejo.es";"952759286"
"Gaucín";"29-056";"gaucin@sopde.es";"952151000"
"Algarrobo";"29-005";"secretaria@algarrobo.es";"952552477"
"Genalguacil";"29-057";"genalguacil@sopde.es";NA
"Algatocín";"29-006";"secretaria@algatocin.es";"952150000"
"Guaro";"29-058";"guaro@sopde.es";NA
"Alhaurín de la Torre";"29-007";"intervencion@aytoalhaurindelatorre.es";"952417150"
"Humilladero";"29-059";"secretaria@humilladero.es";"952737023"
"Alhaurín el Grande";"29-008";"interventora@alhaurinelgrande.es";"952490000"
"Igualeja";"29-060";"igualeja@sopde.es";"952181620"
"Almáchar";"29-009";"ayuntamiento@almachar.es";"952512002"
"Istán";"29-061";"secretaria@istan.es";"952869603"
"Almargen";"29-010";"almargen@sopde.es";NA
"Iznate";"29-062";"ayuntamiento@iznate.es";"952509776"
"Almogía";"29-011";"registrogeneral@almogia.com";"952430025"
"Jimera de Líbar";"29-063";"jimeradelibar@sopde.es";NA
"Álora";"29-012";"intervencion@ayto-alora-org";"952496100"
"Jubrique";"29-064";"jubrique@sopde.es";"952152250"
"Alozaina";"29-013";NA;"952480013"
"Júzcar";"29-065";"juzcar@sopde.es";NA
"Alpandeire";"29-014";"ayuntamiento@alpandeire.es";"952180254"
"Macharaviaya";"29-066";"secretaria@macharaviaya.es";"952400042"
"Antequera";"29-015";"interventor@antequera.es";"952708100"
"Málaga";"29-067";"alcaldia@malaga.eu";"952135000"
"Árchez";"29-016";"archez_alcaldia@sopde.es";NA
"Manilva";"29-068";"alcaldia@ayto-manilva.com";"952890065"
"Archidona";"29-017";"secretaria@archidona.es";"952714480"
"Marbella";"29-069";"alcaldia@marbella.es/interventor@marbella.es";"952761100"
"Ardales";"29-018";"ayuntamiento@ardales.es";"952458087"
"Mijas";"29-070";"interventor@mijas.es";"952485900"
"Arenas";"29-019";"arenas@sopde.es";NA
"Moclinejo";"29-071";"recaudacion@moclinejo.es";"952400586"
"Arriate";"29-020";"alcaldia@arriate.es";"952165100"
"Mollina";"29-072";"secretaria@mollina.es";"952740000"
"Atajate";"29-021";"administracion@atajate.es";"952183504"
"Monda";"29-073";"secretaria@monda.es";"952457069"
"Benadalid";"29-022";"benadalid@sopde.es";NA
"Montejaque";"29-074";"ayto1@wanadoo.es";"952167196"
"Benahavís";"29-023";"ayuntamiento@benahavis.es";"952855025"
"Nerja";"29-075";"intervencion@nerja.es";"952548400"
"Benalauría";"29-024";"benalauria@sopde.es";"952152502"
"Ojén";"29-076";"ojen@vnet.es";"952881003"
"Benalmádena";"29-025";"intervencion@benalmadena.es";"952579800"
"Parauta";"29-077";"ayuntamiento@parauta.es";"952181028"
"Benamargosa";"29-026";"administracion@benamargosa.es";"952517002"
"Periana";"29-079";"ayuntamiento@periana.es";"952536016"
"Benamocarra";"29-027";"contabilidad@benamocarra.es";"952509534"
"Pizarra";"29-080";"ayuntamiento@pizarra.es";"952483015"
"Benaoján";"29-028";"secretario@benaojan.es";"952167046"
"Pujerra";"29-081";"pujerra@sopde.es";"952183513"
"Benarrabá";"29-029";"info@benarraba.es";"952150077"
"Rincón de la Victoria";"29-082";NA;"952402300"
"Borge (El)";"29-030";"ayuntamiento@elborge.es";"952512033"
"Riogordo";"29-083";"INFO@RIOGORDO.ES";"952732154"
"Burgo (El)";"29-031";"ayuntamiento@elburgo.es";"952160002"
"Ronda";"29-084";"intervencion@ronda.es";"952873240"
"Campillos";"29-032";"campillos@sopde.es";"952722168"
"Salares";"29-085";"ayuntamiento@salares.es";"952508903"
"Canillas de Aceituno";"29-033";"ayuntamiento@canillasdeaceituno.es";"952518002"
"Sayalonga";"29-086";"administracion@sayalonga.es";NA
"Canillas de Albaida";"29-034";NA;NA
"Sedella";"29-087";"sedella@sopde.es";"952508839"
"Cañete la Real";"29-035";"alcaldia@canetelareal.es";"952183001"
"Sierra de Yeguas";"29-088";"contabilidad@sierrayeguas.e.telefonica.net";"952746002"
"Carratraca";"29-036";"ayuntamiento@carratraca.es";NA
"Teba";"29-089";"ayuntamiento@teba.es";"952748020"
"Cartajima";"29-037";"ayuntamiento@cartajima.es";"952180751"
"Tolox";"29-090";"tolox@sopde.es";NA
"Cártama";"29-038";"interventor@cartama.es";"952422195"
"Torrox";"29-091";"elopez@torrox.es";"952538862"
"Casabermeja";"29-039";"ayuntamiento@casabermeja.es";"952758377"
"Totalán";"29-092";"ayuntamiento@totalan.es";"952400215"
"Casarabonela";"29-040";"secretaria@casarabonela.es";"952456501"
"Valle de Abdalajís";"29-093";"secretaria@valledeabdalajis.es";"952489100"
"Casares";"29-041";"registro@casares.es";"952894150"
"Vélez-Málaga";"29-094";NA;"952559100"
"Coín";"29-042";"alcaldia@coin.es";"952453020"
"Villanueva de Algaidas";"29-095";"oac@villanuevadealgaidas.es";NA
"Colmenar";"29-043";"colmenar@sopde.es";"952730000"
"Villanueva del Rosario";"29-096";"rosario@sopde.es";NA
"Comares";"29-044";"ayuntamiento@comares.es";"952509233"
"Villanueva del Trabuco";"29-097";"secretaria@villanuevadeltrabuco.com";"952751021"
"Cómpeta";"29-045";"contabilidad@competa.es";"952516006"
"Villanueva de Tapia";"29-098";"secretaria@villanuevadetapia.es";"952757007"
"Cortes de la Frontera";"29-046";"cortes@sopde.es";"952154000"
"Viñuela";"29-099";"secretario@lavinuela.es";"952519324"
"Cuevas Bajas";"29-047";"anallamas@cuevasbajas.com";"952727501"
"Yunquera";"29-100";"registro@yunquera.es";"952482609"
"Cuevas del Becerro";"29-048";"cuevasbecerro@sopde.es";"952162002"
"Torremolinos";"29-901";"intervencion@torremolinos.es";"952379400"
"Cuevas de San Marcos";"29-049";"alcaldia@cuevasdesanmarcos";"952727007"
"Villanueva de la Concepción";"29-902";"alcaldia@villanuevadelaconcepcion.es";"952753176"
"Cútar";"29-050";"ayuntamiento@cutar.es";"952554247"
"Montecorto";"29-903";NA;NA
"Estepona";"29-051";"alcaldia@estepona.es";"952801100"
"Serrato";"29-904";"serrato@sopde.es";NA
"Faraján";"29-052";"farajan@sopde.es";NA
"Ademuz";"46-001";"ademuz_alc@gva.es";"978782000"
"Gilet";"46-134";"ajuntament@gilet.es";"962620001"
